title,synopsis
Casper's Haunted Christmas,"Kibosh, supreme ruler of all ghosts, decrees that casper must scare at least one person before Christmas Day so Casper visits Kriss, Massachusetts where he meets the Jollimore family and sets out to complete his mission. As usual, kindhearted Casper has a ghastky time trying to scare anyone; so The Ghostly Trio, fed up with his goody-boo-shoes behavior, secretly hires Casper's look-alike cousin Spooky to do the job-with hilarious results."
The L.A. Riot Spectacular,"The controversial satire The LA Riot Spectacular plays for mordent laughs the events that consumed L.A. in 1992, after the police officers on trial for beating motorist Rodney King were found innocent. The city was engulfed by a massive riot, but the film plays these moments for laughs. In addition to recreating some of the images seen on television, the film skewers a variety of figures including the police, the media, and the citizens of the city."
Showtime,A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.
Angel Eyes,"A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice."
Deep Throat,Linda's frustration with her inability to achieve orgasm causes a friend to recommend that she see a sex therapist about her problem. During the exam the therapist discovers that Linda's clitoris is located in her throat and recommends deep throating as a treatment to her ailment. Linda then goes on to experiment with this new technique as she searches for a husband.
Family Plot,"Spiritualist Blanche Tyler is asked to locate a missing heir, whom she pursues with her cab driver boyfriend George Lumley, an unemployed actor."
Hotel St. Pauli,"Jor and Gerda is a loving couple that lives together in Copenhagen. Jor is trying to make a breakthrough as a writer, without any luck so far. His struggles have caused Gerda to provide for them by selling sexual favors on the street. Jor is filled with resentment towards Gerda and because of what she has to do to provide food for the two. One day though, their lives change completely when the small city boy Morgan comes walking into their lives.  Hotel St. Pauli is considered by many to be one of the biggest cinema turkeys ever produced in Norway. The film is done by Svend Wam and Petter Vennerød, partners in crime that are responsible for several films that have a main purpose of delivering social commentaries."
I Know Who Killed Me,"An idyllic small town is rocked when Aubrey Fleming, a bright and promising young woman, is abducted and tortured by a sadistic serial killer. When she manages to escape, the traumatized girl who regains consciousness in the hospital insists that she is not who they think she is and that the real Aubrey Fleming is still in mortal danger."
Der Geist von St. Pauli,No overview found.
Der Pfarrer von St. Pauli,No overview found.
The Mist,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity."
Blue in the Face,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram."
Bolero,Follows the tale of a young woman’s sexual awakening and subsequent journey around the world in pursuit of her ideal lover. Encounters include an Arabian sheik and a Spanish bullfighter. Her friend and butler accompany her and help to arrange her couplings.
The Boy Who Saw the Iceberg,A short animation about a boy who sees an iceberg coming. Will he be in time to warn the captain?
Brain Dead,"A psychological thriller from the writer of the original ""Twilight Zone!"" In a showdown of man vs. machine, Martin plunges into a chaotic nightmare trying to save his mind from the megalomaniacal corporation!"
A Bridge Too Far,"Operation Market Garden, September 1944. The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines."
Das Geheimnis von St. Pauli,No overview found.
Into the Wild,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness."
The Getaway,A recently released ex-convict and his loyal wife go on the run after a heist goes wrong.
Tom Horn,A renowned former army scout is hired by ranchers to hunt down rustlers but finds himself on trial for the murder of a boy when he carries out his job too well. Tom Horn finds that the simple skills he knows are of no help in dealing with the ambitions of ranchers and corrupt officials as progress marches over him and the old west.
The Towering Inferno,"At the opening party of a colossal—but poorly constructed—office building, a massive fire breaks out, threatening to destroy the tower and everyone in it."
Le Mans,"Filmed during the annual 24-hour endurance race at Le Mans, Michael Delaney is a Porsche driver haunted by the memory of an accident at the previous year's race in which a competing driver was killed. Delaney also finds himself increasingly infatuated with the man's widow."
